Data_Year,Quarter,FUEL_TYPE,ZIP,Number of Vehicles
2011,NA,PHEV,90039,1
2011,NA,Electric,90041,2
2011,NA,PHEV,90041,2
2011,NA,Electric,90042,4
2011,NA,PHEV,90042,1
2011,NA,Electric,90043,4
2011,NA,PHEV,90043,1
2011,NA,Electric,90045,33
2011,NA,Electric,90046,18
2011,NA,PHEV,90046,8
2011,NA,Electric,90048,7
2011,NA,PHEV,90048,5
2011,NA,Electric,90049,24
2011,NA,PHEV,90049,12
2011,NA,Hydrogen,90049,2
2011,NA,PHEV,90051,2
2011,NA,Electric,90056,2
2011,NA,Electric,90057,1
2011,NA,PHEV,90057,1
2011,NA,Electric,90063,2
2011,NA,PHEV,90063,2
2011,NA,Electric,90064,14
2011,NA,PHEV,90064,2
2011,NA,Electric,90065,4
2011,NA,PHEV,90065,2
2011,NA,Electric,90066,18
2011,NA,PHEV,90066,1
2011,NA,Electric,90067,1
2011,NA,PHEV,90067,2
2011,NA,Electric,90068,10
2011,NA,PHEV,90068,7
2011,NA,Electric,90069,6
2011,NA,Electric,90071,1
2011,NA,Electric,90077,8
2011,NA,PHEV,90077,1
2011,NA,PHEV,90094,1
2011,NA,Electric,90095,1
2011,NA,Electric,90201,1
2011,NA,PHEV,90209,2
2011,NA,Electric,90210,10
2011,NA,PHEV,90210,7
2011,NA,Electric,90211,3
2011,NA,PHEV,90211,2
2011,NA,Electric,90212,3
2011,NA,PHEV,90212,5
2011,NA,Electric,90220,1
2011,NA,PHEV,90220,1
2011,NA,Electric,90230,4
2011,NA,PHEV,90230,4
2011,NA,Electric,90232,8
2011,NA,PHEV,90232,3
2011,NA,Electric,90240,7
2011,NA,PHEV,90240,1
2011,NA,Electric,90241,2
2011,NA,PHEV,90241,1
2011,NA,PHEV,90242,2
2011,NA,Electric,90245,5
2011,NA,PHEV,90245,2
2011,NA,Electric,90247,2
2011,NA,Electric,90248,4
2011,NA,PHEV,90248,2
2011,NA,Electric,90249,3
2011,NA,Electric,90250,3
2011,NA,PHEV,90250,2
2011,NA,Electric,90254,14
2011,NA,PHEV,90254,3
2011,NA,Electric,90260,1
2011,NA,Electric,90262,1
2011,NA,Electric,90265,5
2011,NA,PHEV,90265,4
2011,NA,Electric,90266,26
2011,NA,PHEV,90266,7
2011,NA,Electric,90272,14
2011,NA,PHEV,90272,7
2011,NA,Electric,90274,14
2011,NA,PHEV,90274,5
2011,NA,Electric,90275,29
2011,NA,PHEV,90275,9
2011,NA,Electric,90277,10
2011,NA,PHEV,90277,1
2011,NA,Electric,90278,21
2011,NA,PHEV,90278,1
2011,NA,Electric,90290,5
2011,NA,Electric,90291,16
2011,NA,PHEV,90291,2
2011,NA,Electric,90292,4
2011,NA,PHEV,90292,2
2011,NA,Electric,90293,5
2011,NA,PHEV,90293,2
2011,NA,Electric,90295,1
2011,NA,Electric,90301,1
2011,NA,Electric,90302,1
2011,NA,PHEV,90302,1
2011,NA,Electric,90401,2
2011,NA,PHEV,90401,2
2011,NA,Electric,90402,17
2011,NA,PHEV,90402,9
2011,NA,Electric,90403,14
2011,NA,PHEV,90403,2
2011,NA,Hydrogen,90403,1
2011,NA,Electric,90404,5
2011,NA,PHEV,90404,3
2011,NA,Electric,90405,21
2011,NA,PHEV,90405,3
2011,NA,Hydrogen,90405,2
2011,NA,Electric,90501,5
2011,NA,PHEV,90501,6
2011,NA,Electric,90502,3
2011,NA,Electric,90503,9
2011,NA,PHEV,90503,1
2011,NA,Electric,90504,6
2011,NA,PHEV,90504,2
2011,NA,Electric,90505,10
2011,NA,Electric,90601,7
2011,NA,Electric,90603,1
2011,NA,Electric,90604,1
2011,NA,PHEV,90604,1
2011,NA,Electric,90605,1
2011,NA,PHEV,90605,1
2011,NA,Electric,90620,1
2011,NA,PHEV,90620,1
2011,NA,PHEV,90623,1
2011,NA,Electric,90630,10
2011,NA,PHEV,90630,4
2011,NA,Electric,90631,4
2011,NA,Electric,90638,4
2011,NA,PHEV,90638,2
2011,NA,Electric,90640,1
2011,NA,PHEV,90660,10
2011,NA,Electric,90680,1
2011,NA,Electric,90703,7
2011,NA,PHEV,90703,2
2011,NA,PHEV,90706,1
2011,NA,PHEV,90710,2
2011,NA,Electric,90712,3
2011,NA,PHEV,90712,1
2011,NA,Electric,90713,1
2011,NA,PHEV,90713,1
2011,NA,Electric,90715,2
2011,NA,Electric,90720,5
2011,NA,PHEV,90720,6
2011,NA,Electric,90731,8
2011,NA,PHEV,90731,1
2011,NA,Electric,90732,4
2011,NA,PHEV,90732,4
2011,NA,Electric,90740,6
2011,NA,PHEV,90740,3
2011,NA,Electric,90742,2
2011,NA,Electric,90744,1
2011,NA,Electric,90745,1
2011,NA,Electric,90746,1
2011,NA,Electric,90755,3
2011,NA,PHEV,90755,3
2011,NA,Electric,90802,1
2011,NA,PHEV,90802,1
2011,NA,Electric,90803,17
2011,NA,PHEV,90803,4
2011,NA,Electric,90804,5
2011,NA,Electric,90806,2
2011,NA,Electric,90807,16
2011,NA,PHEV,90807,1
2011,NA,Electric,90808,10
2011,NA,PHEV,90810,2
2011,NA,Electric,90813,1
2011,NA,Electric,90814,3
2011,NA,PHEV,90814,1
2011,NA,Electric,90815,9
2011,NA,Electric,91001,9
2011,NA,PHEV,91001,2
2011,NA,Electric,91006,9
2011,NA,PHEV,91006,1
2011,NA,Electric,91007,3
2011,NA,Electric,91010,1
2011,NA,PHEV,91010,1
2011,NA,Electric,91011,8
2011,NA,PHEV,91011,4
2011,NA,Electric,91016,3
2011,NA,PHEV,91016,4
2011,NA,Electric,91020,1
2011,NA,Electric,91030,6
2011,NA,PHEV,91030,2
2011,NA,Electric,91040,3
2011,NA,Electric,91042,3
2011,NA,PHEV,91042,1
2011,NA,PHEV,91101,3
2011,NA,Electric,91103,1
2011,NA,PHEV,91103,1
2011,NA,Electric,91104,8
2011,NA,PHEV,91104,1
2011,NA,Electric,91105,6
2011,NA,PHEV,91105,1
2011,NA,Electric,91106,4
2011,NA,PHEV,91106,6
2011,NA,Electric,91107,3
2011,NA,PHEV,91107,1
2011,NA,Electric,91108,10
2011,NA,PHEV,91108,4
2011,NA,Electric,91109,1
2011,NA,Electric,91201,1
2011,NA,PHEV,91201,1
2011,NA,Electric,91202,1
2011,NA,PHEV,91202,2
2011,NA,Electric,91203,1
2011,NA,Electric,91204,1
2011,NA,PHEV,91204,2
2011,NA,Electric,91205,1
2011,NA,Electric,91206,6
2011,NA,PHEV,91206,5
2011,NA,Electric,91207,5
2011,NA,Electric,91208,7
2011,NA,PHEV,91208,1
2011,NA,Electric,91214,5
2011,NA,PHEV,91214,4
2011,NA,Electric,91301,7
2011,NA,PHEV,91301,2
2011,NA,Electric,91302,5
2011,NA,Electric,91304,1
2011,NA,PHEV,91304,1
2011,NA,Electric,91306,1
2011,NA,PHEV,91306,1
2011,NA,Electric,91307,3
2011,NA,PHEV,91307,1
2011,NA,Electric,91311,2
2011,NA,PHEV,91311,1
2011,NA,Electric,91316,5
2011,NA,PHEV,91316,2
2011,NA,Electric,91320,12
2011,NA,PHEV,91320,6
2011,NA,Electric,91321,1
2011,NA,Electric,91324,4
2011,NA,Electric,91325,6
2011,NA,Electric,91326,14
2011,NA,PHEV,91326,2
2011,NA,Electric,91331,1
2011,NA,PHEV,91335,2
2011,NA,Electric,91342,2
2011,NA,PHEV,91342,2
2011,NA,Electric,91343,1
2011,NA,Electric,91344,9
2011,NA,PHEV,91344,2
2011,NA,Electric,91345,1
2011,NA,Electric,91350,11
2011,NA,PHEV,91350,3
2011,NA,Electric,91351,2
2011,NA,PHEV,91352,1
2011,NA,Electric,91354,4
2011,NA,PHEV,91354,4
2011,NA,Electric,91355,9
2011,NA,Electric,91356,2
2011,NA,PHEV,91356,3
2011,NA,Electric,91360,7
2011,NA,PHEV,91360,8
2011,NA,Electric,91361,2
2011,NA,PHEV,91361,6
2011,NA,Electric,91362,14
2011,NA,PHEV,91362,3
2011,NA,Electric,91364,13
2011,NA,PHEV,91364,1
2011,NA,Electric,91367,3
2011,NA,PHEV,91367,4
2011,NA,PHEV,91377,1
2011,NA,Electric,91380,1
2011,NA,Electric,91381,3
2011,NA,PHEV,91381,1
2011,NA,Electric,91384,1
2011,NA,PHEV,91384,1
2011,NA,Electric,91387,1
2011,NA,PHEV,91387,1
2011,NA,PHEV,91390,1
2011,NA,Electric,91401,4
2011,NA,PHEV,91401,2
2011,NA,Electric,91403,5
2011,NA,PHEV,91403,5
2011,NA,Electric,91405,2
2011,NA,PHEV,91405,1
2011,NA,Electric,91406,7
2011,NA,PHEV,91406,1
2011,NA,Electric,91411,1
2011,NA,PHEV,91411,1
2011,NA,Electric,91423,10
2011,NA,PHEV,91423,1
2011,NA,Electric,91436,12
2011,NA,PHEV,91436,4
2011,NA,Electric,91501,4
2011,NA,Electric,91504,3
2011,NA,Electric,91505,7
2011,NA,PHEV,91505,1
2011,NA,Electric,91506,4
2011,NA,PHEV,91506,2
2011,NA,Electric,91601,1
2011,NA,Electric,91602,4
2011,NA,PHEV,91602,1
2011,NA,PHEV,91603,1
2011,NA,Electric,91604,16
2011,NA,PHEV,91604,4
2011,NA,Electric,91605,1
2011,NA,PHEV,91605,1
2011,NA,Electric,91606,1
2011,NA,PHEV,91606,1
2011,NA,Electric,91607,2
2011,NA,PHEV,91607,1
2011,NA,Electric,91701,4
2011,NA,Electric,91702,2
2011,NA,Electric,91709,7
2011,NA,PHEV,91709,2
2011,NA,Electric,91710,4
2011,NA,PHEV,91710,3
2011,NA,Electric,91711,17
2011,NA,PHEV,91711,2
2011,NA,Electric,91724,1
2011,NA,Electric,91729,1
2011,NA,Electric,91730,2
2011,NA,Electric,91732,1
2011,NA,PHEV,91737,1
2011,NA,Electric,91739,2
2011,NA,PHEV,91739,2
2011,NA,Electric,91740,1
2011,NA,PHEV,91740,1
2011,NA,Electric,91741,1
2011,NA,PHEV,91741,4
2011,NA,PHEV,91744,1
2011,NA,Electric,91745,5
2011,NA,PHEV,91745,5
2011,NA,Electric,91748,2
2011,NA,Electric,91750,2
2011,NA,PHEV,91750,4
2011,NA,Electric,91752,3
2011,NA,PHEV,91754,1
2011,NA,Electric,91755,2
2011,NA,PHEV,91755,1
2011,NA,PHEV,91761,3
2011,NA,Electric,91762,1
2011,NA,PHEV,91762,2
2011,NA,Electric,91763,1
2011,NA,PHEV,91764,3
2011,NA,Electric,91765,5
2011,NA,PHEV,91765,5
2011,NA,Electric,91766,4
2011,NA,PHEV,91766,1
2011,NA,Electric,91767,5
2011,NA,Electric,91768,1
2011,NA,PHEV,91768,1
2011,NA,Electric,91773,4
2011,NA,PHEV,91773,3
2011,NA,Electric,91775,3
2011,NA,PHEV,91775,1
2011,NA,PHEV,91776,2
2011,NA,Electric,91780,3
2011,NA,Electric,91784,1
2011,NA,PHEV,91784,2
2011,NA,Electric,91786,4
